HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2023-02-01 09:00;2023-02-01 10:00;DE;781,260010;105,029999
2023-02-01 10:00;2023-02-01 11:00;SYSTEM;768,760010;103,349998
2023-02-01 10:00;2023-02-01 11:00;SE4;754,630005;101,449997
2023-02-01 10:00;2023-02-01 11:00;SE3;754,630005;101,449997
2023-02-01 10:00;2023-02-01 11:00;NO2;754,630005;101,449997
2023-02-01 10:00;2023-02-01 11:00;DK2;754,630005;101,449997
2023-02-01 10:00;2023-02-01 11:00;DK1;754,630005;101,449997
2023-02-01 10:00;2023-02-01 11:00;DE;754,630005;101,449997
2023-02-01 11:00;2023-02-01 12:00;SYSTEM;750,690002;100,919998
2023-02-01 11:00;2023-02-01 12:00;SE4;738,940002;99,339996
2023-02-01 11:00;2023-02-01 12:00;SE3;738,940002;99,339996
2023-02-01 11:00;2023-02-01 12:00;NO2;738,940002;99,339996
2023-02-01 11:00;2023-02-01 12:00;DK2;738,940002;99,339996
2023-02-01 11:00;2023-02-01 12:00;DK1;738,940002;99,339996
2023-02-01 11:00;2023-02-01 12:00;DE;738,940002;99,339996
2023-02-01 12:00;2023-02-01 13:00;SYSTEM;745,700012;100,250000
2023-02-01 12:00;2023-02-01 13:00;SE4;732,909973;98,529999
2023-02-01 12:00;2023-02-01 13:00;SE3;732,909973;98,529999
2023-02-01 12:00;2023-02-01 13:00;NO2;732,909973;98,529999
2023-02-01 12:00;2023-02-01 13:00;DK2;732,909973;98,529999
2023-02-01 12:00;2023-02-01 13:00;DK1;732,909973;98,529999
2023-02-01 12:00;2023-02-01 13:00;DE;732,909973;98,529999
2023-02-01 13:00;2023-02-01 14:00;SYSTEM;742,059998;99,760002
2023-02-01 13:00;2023-02-01 14:00;SE4;731,349976;98,320000
2023-02-01 13:00;2023-02-01 14:00;SE3;731,349976;98,320000
2023-02-01 13:00;2023-02-01 14:00;NO2;731,349976;98,320000
2023-02-01 13:00;2023-02-01 14:00;DK2;731,349976;98,320000
2023-02-01 13:00;2023-02-01 14:00;DK1;713,869995;95,970001
2023-02-01 13:00;2023-02-01 14:00;DE;713,869995;95,970001
2023-02-01 14:00;2023-02-01 15:00;SYSTEM;743,549988;99,959999
2023-02-01 14:00;2023-02-01 15:00;SE4;733,130005;98,559998
2023-02-01 14:00;2023-02-01 15:00;SE3;733,130005;98,559998
2023-02-01 14:00;2023-02-01 15:00;NO2;733,130005;98,559998
2023-02-01 14:00;2023-02-01 15:00;DK2;733,130005;98,559998
2023-02-01 14:00;2023-02-01 15:00;DK1;733,130005;98,559998
2023-02-01 14:00;2023-02-01 15:00;DE;733,130005;98,559998
2023-02-01 15:00;2023-02-01 16:00;SYSTEM;781,630005;105,080002
2023-02-01 15:00;2023-02-01 16:00;SE4;763,849976;102,690002
2023-02-01 15:00;2023-02-01 16:00;SE3;763,849976;102,690002
2023-02-01 15:00;2023-02-01 16:00;NO2;763,849976;102,690002
2023-02-01 15:00;2023-02-01 16:00;DK2;763,849976;102,690002
2023-02-01 15:00;2023-02-01 16:00;DK1;763,849976;102,690002
2023-02-01 15:00;2023-02-01 16:00;DE;763,849976;102,690002
2023-02-01 16:00;2023-02-01 17:00;SYSTEM;821,650024;110,459999
2023-02-01 16:00;2023-02-01 17:00;SE4;811,679993;109,120003
2023-02-01 16:00;2023-02-01 17:00;SE3;811,679993;109,120003
2023-02-01 16:00;2023-02-01 17:00;NO2;811,679993;109,120003
2023-02-01 16:00;2023-02-01 17:00;DK2;811,679993;109,120003
2023-02-01 16:00;2023-02-01 17:00;DK1;811,679993;109,120003
2023-02-01 16:00;2023-02-01 17:00;DE;811,679993;109,120003
2023-02-01 17:00;2023-02-01 18:00;SYSTEM;821,500000;110,440002
2023-02-01 17:00;2023-02-01 18:00;SE4;810,049988;108,900002
2023-02-01 17:00;2023-02-01 18:00;SE3;810,049988;108,900002
2023-02-01 17:00;2023-02-01 18:00;NO2;810,049988;108,900002
2023-02-01 17:00;2023-02-01 18:00;DK2;810,049988;108,900002
2023-02-01 17:00;2023-02-01 18:00;DK1;810,049988;108,900002
